% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 57.72  297.308464       14859     20008       374 futex
 24.77  127.609573       23427      5447           ioctl
  8.24   42.464884       18186      2335           epoll_pwait
  4.77   24.593648         343     71691           clock_gettime
  0.68    3.494706         421      8296           mprotect
  0.62    3.180044         295     10756           getuid32
  0.60    3.080832         330      9322           writev
  0.57    2.912920         299      9726       446 read
  0.44    2.267261         394      5754           write
  0.38    1.973410         402      4898           madvise
  0.37    1.885126         387      4861      1879 recvfrom
  0.18    0.922857         424      2175           sendto
  0.16    0.829992         330      2515           close
  0.16    0.801346         390      2052           membarrier
  0.13    0.668708         325      2052           uname
  0.07    0.356255         312      1140           fcntl64
  0.04    0.197252         322       611           fstat64
  0.02    0.102316         345       296           getrandom
  0.02    0.094643         304       311           dup
  0.02    0.083644         408       205           mmap2
  0.02    0.082048         678       121           munmap
  0.01    0.062223         370       168           prctl
  0.01    0.040184         372       108           rt_sigprocmask
  0.01    0.031574         426        74           epoll_ctl
  0.00    0.011627         447        26           fstatat64
  0.00    0.010008         834        12           getpriority
  0.00    0.008188         481        17           gettimeofday
  0.00    0.007655         255        30           sched_yield
  0.00    0.006584         598        11           clone
  0.00    0.004369         485         9           setpriority
  0.00    0.003634         259        14           sigaltstack
  0.00    0.003393         308        11           set_thread_area
  0.00    0.002782         347         8           pread64
  0.00    0.000901         150         6           openat
  0.00    0.000886         295         3         3 getsockopt
  0.00    0.000866         288         3           _llseek
  0.00    0.000329         109         3           set_tid_address
  0.00    0.000194          97         2           getdents64
  0.00    0.000185         185         1           epoll_create1
  0.00    0.000116          29         4           flock
  0.00    0.000110         110         1           eventfd2
  0.00    0.000000           0         1           ftruncate64
  0.00    0.000000           0         1           lseek
------ ----------- ----------- --------- --------- ----------------
100.00  515.105737                165085      2702 total
