% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 52.97   98.223948       19442      5052       170 futex
 24.16   44.804461       12480      3590           ioctl
 14.66   27.192228       10169      2674           epoll_pwait
  4.77    8.850618         295     29985           clock_gettime
  0.85    1.577734         280      5624      2125 recvfrom
  0.49    0.908105         325      2791           mprotect
  0.48    0.884804         343      2573           sendto
  0.30    0.561475         329      1704           madvise
  0.30    0.556847         303      1837           getuid32
  0.27    0.497000         363      1367           write
  0.23    0.431785         249      1730       531 read
  0.13    0.237492         348       682           membarrier
  0.10    0.179817         263       682           uname
  0.05    0.099902         264       378           close
  0.05    0.098589         289       341           getrandom
  0.02    0.046341         235       197           fcntl64
  0.02    0.037006         243       152           writev
  0.02    0.036339         240       151           mmap2
  0.02    0.034835         270       129           fstatat64
  0.02    0.029313         302        97           munmap
  0.01    0.027252         134       203           sched_yield
  0.01    0.026611         277        96           epoll_ctl
  0.01    0.021935         192       114           fstat64
  0.01    0.021742         249        87           prctl
  0.01    0.020230         266        76           dup
  0.00    0.008957         208        43           rt_sigprocmask
  0.00    0.007508         197        38           pread64
  0.00    0.001254         209         6           getpriority
  0.00    0.001251         139         9           sigaltstack
  0.00    0.001069         267         4           set_thread_area
  0.00    0.001051         175         6           gettimeofday
  0.00    0.001037         148         7           setpriority
  0.00    0.000933         466         2           epoll_create1
  0.00    0.000503         125         4           flock
  0.00    0.000439         439         1           ftruncate64
  0.00    0.000388          64         6           clone
  0.00    0.000277         138         2           eventfd2
  0.00    0.000270         270         1           lseek
  0.00    0.000106          53         2           openat
  0.00    0.000059          19         3           set_tid_address
------ ----------- ----------- --------- --------- ----------------
100.00  185.431511                 62446      2826 total
